Key,Source,Context,Changes,English,French,German,Klingon,Spanish,Polish
craftSkillBowWeaponsRank2Desc,progression,Perk,New,"Wield bows with 7.5% additional entity damage and gain 5% more experience.  Craft at quality level 3.",,,,,
craftSkillBowWeaponsRank3Desc,progression,Perk,New,"Wield bows with 10% additional entity damage and gain 7.5% more experience.  Craft at quality level 4.",,,,,
craftSkillBowWeaponsRank4Desc,progression,Perk,New,"Wield bows with 12.5% additional entity damage and gain 10% more experience.  Craft at quality level 5.",,,,,
craftSkillBowWeaponsRank5Desc,progression,Perk,New,"Wield bows with 20% additional entity damage and gain 20% more experience.  Craft at quality level 6.",,,,,
ammoCraftingName,progression,Perk,New,Crafting Skill: Ammo Master,,,,,
ammoCraftingDesc,progression,Perk,New,"Gain skills at crafting ammo at faster speeds.",,,,,
ammoCraftingRank1Desc,progression,Perk,New,"Unlocks Perk to craft Ammo Workstation.",,,,,
ammoCraftingRank2Desc,progression,Perk,New,"Unlocks Perks to craft .32mm Bullets and 9mm Hollow Point Bullets.",,,,,
ammoCraftingRank3Desc,progression,Perk,New,"Unlocks Perks to craft .44 Hollow Point Bullets, Hollow Point Ammunition, 5.56mm Bullets, Tungsten Arrow Heads, Exploding Tungsten Arrows and Flaming Tungsten Crossbow Bolts.",,,,,
ammoCraftingRank4Desc,progression,Perk,New,"Unlocks Perks to Craft 5.56mm NATO Bullets.",,,,,
ammoCraftingRank5Desc,progression,Perk,New,"Unlocks Perks to Craft 7.62mm Hollow Point Bullets.",,,,,
craftSkillBluntWeaponsName,progression,Perk,New,Crafting Skill: Blunt Weapons Master,,,,,
craftSkillBluntWeaponsDesc,progression,Perk,New,"Gain skills at using blunt weapons with better stats.  Craft higher tier blunt weapons.",,,,,
craftSkillBluntWeaponsRank1Desc,progression,Perk,New,"Use Blunt Weapons with 5% additional entity damage, gain 2.5% more experience and use 5% less Stamina.  Craft at quality level 2.",,,,,
craftSkillBluntWeaponsRank2Desc,progression,Perk,New,"Use Blunt Weapons with 7.5% additional entity damage, gain 5% more experience and use 10% less Stamina.  Craft at quality level 3.",,,,,
craftSkillBluntWeaponsRank3Desc,progression,Perk,New,"Use Blunt Weapons with 10% additional entity damage, gain 7.5% more experience and use 15% less Stamina.  Craft at quality level 4.",,,,,
craftSkillBluntWeaponsRank4Desc,progression,Perk,New,"Use Blunt Weapons with 12.5% additional entity damage, gain 10% more experience and use 20% less Stamina.  Craft at quality level 5.",,,,,
craftSkillBluntWeaponsRank5Desc,progression,Perk,New,"Use Blunt Weapons with 20% additional entity damage, gain 20% more experience and use 25% less Stamina.  Craft at quality level 6.",,,,,
craftSkillBladeWeaponsName,progression,Perk,New,Crafting Skill: Blade Weapons Master,,,,,
craftSkillBladeWeaponsDesc,progression,Perk,New,"Gain skills at using blade weapons with better stats.  Craft higher tier blade weapons.",,,,,
craftSkillBladeWeaponsRank1Desc,progression,Perk,New,"Use blade Weapons with 5% additional entity damage, gain 2.5% more experience and use 5% less Stamina.  Craft at quality level 2.",,,,,
craftSkillBladeWeaponsRank2Desc,progression,Perk,New,"Use blade Weapons with 7.5% additional entity damage, gain 5% more experience and use 10% less Stamina.  Craft at quality level 3.",,,,,
craftSkillBladeWeaponsRank3Desc,progression,Perk,New,"Use blade Weapons with 10% additional entity damage, gain 7.5% more experience and use 15% less Stamina.  Craft at quality level 4.",,,,,
craftSkillBladeWeaponsRank4Desc,progression,Perk,New,"Use blade Weapons with 12.5% additional entity damage, gain 10% more experience and use 20% less Stamina.  Craft at quality level 5.",,,,,
craftSkillBladeWeaponsRank5Desc,progression,Perk,New,"Use blade Weapons with 20% additional entity damage, gain 20% more experience and use 25% less Stamina.  Craft at quality level 6.",,,,,
craftSkillStoneScrapIronToolsName,progression,Perk,New,Crafting Skill: Stone/Scrap Iron Tools Master,,,,,
craftSkillStoneScrapIronToolsDesc,progression,Perk,New,"Gain skills at using stone/scrap iron tool with better stats.  Craft higher tier stone/scrap iron tools.",,,,,
craftSkillStoneScrapIronToolsRank1Desc,progression,Perk,New,"Use stone/scrap iron tools with 5% additional block damage, gain 2.5% more experience and use 5% less Stamina.  Craft at quality level 2.",,,,,
craftSkillStoneScrapIronToolsRank2Desc,progression,Perk,New,"Use stone/scrap iron tools with 10% additional block damage, gain 5% more experience and use 10% less Stamina.  Craft at quality level 3.",,,,,
craftSkillStoneScrapIronToolsRank3Desc,progression,Perk,New,"Use stone/scrap iron tools with 15% additional block damage, gain 7.5% more experience and use 15% less Stamina.  Craft at quality level 4.",,,,,
craftSkillStoneScrapIronToolsRank4Desc,progression,Perk,New,"Use stone/scrap iron tools with 20% additional block damage, gain 10% more experience and use 20% less Stamina.  Craft at quality level 5.",,,,,
craftSkillStoneScrapIronToolsRank5Desc,progression,Perk,New,"Use stone/scrap iron tools with 25% additional block damage, gain 20% more experience and use 25% less Stamina.  Craft at quality level 6.",,,,,
craftSkillIronToolsName,progression,Perk,New,Crafting Skill: Iron/Steel Tools Master,,,,,
craftSkillIronToolsDesc,progression,Perk,New,"Gain skills at using iron/steel tools with better stats.  Craft higher tier iron/steel tools.",,,,,
craftSkillIronToolsRank1Desc,progression,Perk,New,"Use iron/steel tools with 5% additional block damage, gain 2.5% more experience and use 5% less Stamina.  Craft at quality level 2.",,,,,
craftSkillIronToolsRank2Desc,progression,Perk,New,"Use iron/steel tools with 10% additional block damage, gain 5% more experience and use 10% less Stamina.  Craft at quality level 3.",,,,,
craftSkillIronToolsRank3Desc,progression,Perk,New,"Use iron/steel tools with 15% additional block damage, gain 7.5% more experience and use 15% less Stamina.  Craft at quality level 4.",,,,,
craftSkillIronToolsRank4Desc,progression,Perk,New,"Use iron/steel tools with 20% additional block damage, gain 10% more experience and use 20% less Stamina.  Craft at quality level 5.",,,,,
craftSkillIronToolsRank5Desc,progression,Perk,New,"Use iron/steel tools with 25% additional block damage, gain 20% more experience and use 25% less Stamina.  Craft at quality level 6.",,,,,
craftSkillSteelToolsName,progression,Perk,New,Crafting Skill: Steel Tools Master,,,,,
craftSkillSteelToolsDesc,progression,Perk,New,"Gain skills at using steel tools with better stats.  Craft higher tier steel tools.",,,,,
craftSkillSteelToolsRank1Desc,progression,Perk,New,"Use steel tools with 5% additional block damage, gain 2.5% more experience and use 5% less Stamina.  Craft at quality level 2.",,,,,
craftSkillSteelToolsRank2Desc,progression,Perk,New,"Use steel tools with 10% additional block damage, gain 5% more experience and use 10% less Stamina.  Craft at quality level 3.",,,,,
craftSkillSteelToolsRank3Desc,progression,Perk,New,"Use steel tools with 15% additional block damage, gain 7.5% more experience and use 15% less Stamina.  Craft at quality level 4.",,,,,
craftSkillSteelToolsRank4Desc,progression,Perk,New,"Use steel tools with 20% additional block damage, gain 10% more experience and use 20% less Stamina.  Craft at quality level 5.",,,,,
craftSkillSteelToolsRank5Desc,progression,Perk,New,"Use steel tools with 25% additional block damage, gain 20% more experience and use 25% less Stamina.  Craft at quality level 6.",,,,,
craftSkillTungstenDiamondToolsName,progression,Perk,New,"Crafting Skill: Tungsten/Diamond Tipped Tools Master",,,,,
craftSkillTungstenDiamondToolsDesc,progression,Perk,New,"Gain skills at using tungsten/diamond tipped tools with better stats.  Craft higher tier tungsten/diamond tipped tools.",,,,,
craftSkillTungstenDiamondToolsRank1Desc,progression,Perk,New,"Use tungsten/diamond tipped tools with 5% additional block damage, gain 2.5% more experience and use 5% less Stamina.  Craft at quality level 2.",,,,,
craftSkillTungstenDiamondToolsRank2Desc,progression,Perk,New,"Use tungsten/diamond tipped tools with 10% additional block damage, gain 5% more experience and use 10% less Stamina.  Craft at quality level 3.",,,,,
craftSkillTungstenDiamondToolsRank3Desc,progression,Perk,New,"Use tungsten/diamond tipped tools with 15% additional block damage, gain 7.5% more experience and use 15% less Stamina.  Craft at quality level 4.",,,,,
craftSkillTungstenDiamondToolsRank4Desc,progression,Perk,New,"Use tungsten/diamond tipped tools with 20% additional block damage, gain 10% more experience and use 20% less Stamina.  Craft at quality level 5.",,,,,
craftSkillTungstenDiamondToolsRank5Desc,progression,Perk,New,"Use tungsten/diamond tipped tools with 25% additional block damage, gain 20% more experience and use 25% less Stamina.  Craft at quality level 6.",,,,,
craftSkillMechanicName,progression,Perk,New,Crafting Skill: Mechanic Master,,,,,
craftSkillMechanicDesc,progression,Perk,New,"Gain skills at using mechanical items with better stats.  Craft higher tier mechanical tools.",,,,,
craftSkillMechanicRank1Desc,progression,Perk,New,"Use mechanical tools with 5% additional block damage, gain 2.5% more experience and use 5% less Stamina.  Craft at quality level 2.",,,,,
craftSkillMechanicRank2Desc,progression,Perk,New,"Use mechanical tools with 10% additional block damage, gain 5% more experience and use 10% less Stamina.  Craft at quality level 3.",,,,,
craftSkillMechanicRank3Desc,progression,Perk,New,"Use mechanical tools with 15% additional block damage, gain 7.5% more experience and use 15% less Stamina.  Craft at quality level 4.",,,,,
craftSkillMechanicRank4Desc,progression,Perk,New,"Use mechanical tools with 20% additional block damage, gain 10% more experience and use 20% less Stamina.  Craft at quality level 5.",,,,,
craftSkillMechanicRank5Desc,progression,Perk,New,"Use mechanical tools with 25% additional block damage, gain 20% more experience and use 25% less Stamina.  Craft at quality level 6.",,,,,
craftSkillFabricArmorName,progression,Perk,New,Crafting Skill: Fabric Armor Master,,,,,
craftSkillFabricArmorDesc,progression,Perk,New,"Gain skills at wearing fabric armor with better stats.  Craft higher tier fabric armor.",,,,,
craftSkillFabricArmorRank1Desc,progression,Perk,New,"Wear fabric armor with increased physical damage resistance of 5%, increased mobility by 2.5% and increased buff resistance by 5%.  Craft at quality level 2.",,,,,
craftSkillFabricArmorRank2Desc,progression,Perk,New,"Wear fabric armor with increased physical damage resistance of 10%, increased mobility by 3.75% and increased buff resistance by 9%.  Craft at quality level 3.",,,,,
craftSkillFabricArmorRank3Desc,progression,Perk,New,"Wear fabric armor with increased physical damage resistance of 15%, increased mobility by 5% and increased buff resistance by 13%.  Craft at quality level 4.",,,,,
craftSkillFabricArmorRank4Desc,progression,Perk,New,"Wear fabric armor with increased physical damage resistance of 20%, increased mobility by 6.25% and increased buff resistance by 16%.  Craft at quality level 5.",,,,,
craftSkillFabricArmorRank5Desc,progression,Perk,New,"Wear fabric armor with increased physical damage resistance of 25%, increased mobility by 7.5% and increased buff resistance by 20%.  Craft at quality level 6.",,,,,
craftSkillMetalArmorName,progression,Perk,New,Crafting Skill: Metal Armor Master,,,,,
craftSkillMetalArmorDesc,progression,Perk,New,"Gain skills at wearing metal armor with better stats.  Craft higher tier metal armor.",,,,,
craftSkillMetalArmorRank1Desc,progression,Perk,New,"Wear metal armor with increased physical damage resistance of 5%, increased mobility by 2.5% and increased buff resistance by 5%.  Craft at quality level 2.",,,,,
craftSkillMetalArmorRank2Desc,progression,Perk,New,"Wear metal armor with increased physical damage resistance of 10%, increased mobility by 3.75% and increased buff resistance by 9%.  Craft at quality level 3.",,,,,
craftSkillMetalArmorRank3Desc,progression,Perk,New,"Wear metal armor with increased physical damage resistance of 15%, increased mobility by 5% and increased buff resistance by 13%.  Craft at quality level 4.",,,,,
craftSkillMetalArmorRank4Desc,progression,Perk,New,"Wear metal armor with increased physical damage resistance of 20%, increased mobility by 6.25% and increased buff resistance by 16%.  Craft at quality level 5.",,,,,
craftSkillMetalArmorRank5Desc,progression,Perk,New,"Wear metal armor with increased physical damage resistance of 25%, increased mobility by 7.5% and increased buff resistance by 20%.  Craft at quality level 6.",,,,,
craftSkillScienceName,progression,Perk,New,Crafting Skill: Science Master,,,,,
craftSkillScienceDesc,progression,Perk,New,"Gain skills at crafting science items at faster speeds.",,,,,
craftSkillScienceRank1Desc,progression,Perk,New,"Craft science items faster by 5%.",,,,,
craftSkillScienceRank2Desc,progression,Perk,New,"Craft science items faster by 25%.",,,,,
craftSkillScienceRank3Desc,progression,Perk,New,"Craft science items faster by 45%.",,,,,
craftSkillScienceRank4Desc,progression,Perk,New,"Craft science items faster by 55%.",,,,,
craftSkillScienceRank5Desc,progression,Perk,New,"Craft science items faster by 65%.",,,,,
craftSkillCookingName,progression,Perk,New,Crafting Skill: Cooking Master,,,,,
craftSkillCookingDesc,progression,Perk,New,"Gain skills at cooking at faster speeds.",,,,,
craftSkillCookingRank1Desc,progression,Perk,New,"Craft cooking items faster by 5%.",,,,,
craftSkillCookingRank2Desc,progression,Perk,New,"Craft cooking items faster by 25%.",,,,,
craftSkillCookingRank3Desc,progression,Perk,New,"Craft cooking items faster by 45%.",,,,,
craftSkillCookingRank4Desc,progression,Perk,New,"Craft cooking items faster by 55%.",,,,,
craftSkillCookingRank5Desc,progression,Perk,New,"Craft cooking items faster by 65%.",,,,,
craftSkillConstructionName,progression,Perk,New,Crafting Skill: Construction Master,,,,,
craftSkillConstructionDesc,progression,Perk,New,"Gain skills at crafting construction items at faster speeds.",,,,,
craftSkillConstructionRank1Desc,progression,Perk,New,"Craft construction items faster by 5%.",,,,,
craftSkillConstructionRank2Desc,progression,Perk,New,"Craft construction items faster by 25%.",,,,,
craftSkillConstructionRank3Desc,progression,Perk,New,"Craft construction items faster by 45%.",,,,,
craftSkillConstructionRank4Desc,progression,Perk,New,"Craft construction items faster by 55%.",,,,,
craftSkillConstructionRank5Desc,progression,Perk,New,"Craft construction items faster by 65%.",,,,,
perkBuilderClassMasterName,progression,Perk,New,Builder Class,,,,,
perkBuilderClassMasterDesc,progression,Perk,New,"Master at building things.",,,,,
perkSurvivalistClassMasterName,progression,Perk,New,Survivalist Class,,,,,
perkSurvivalistClassMasterDesc,progression,Perk,New,"Master of surviving.",,,,,
perkScholarClassMasterName,progression,Perk,New,Scholar Class,,,,,
perkScholarClassMasterDesc,progression,Perk,New,"Master of brains.",,,,,
perkMarksmanClassMasterName,progression,Perk,New,Marksman Class,,,,,
perkMarksmanClassMasterDesc,progression,Perk,New,"Master at shooting things.",,,,,
perkFighterClassMasterName,progression,Perk,New,Fighter Class,,,,,
perkFighterClassMasterDesc,progression,Perk,New,"Master at hitting things.",,,,,
perkTradesmanClassMasterName,progression,Perk,New,Tradesman Class,,,,,
perkTradesmanClassMasterDesc,progression,Perk,New,"Master at trades.",,,,,
perkProtectionClassMasterName,progression,Perk,New,Protection Class,,,,,
perkProtectionClassMasterDesc,progression,Perk,New,"Master at armor crafting.",,,,,
perkElectricianClassMasterName,progression,Perk,New,Electrician Class,,,,,
perkElectricianClassMasterDesc,progression,Perk,New,"Master at electricial devices.",,,,,
perkCovertClassMasterName,progression,Perk,New,Covert Class,,,,,
perkCovertClassMasterDesc,progression,Perk,New,"Master at covert operations.",,,,,
perkCookClassMasterName,progression,Perk,New,Cook Class,,,,,
perkCookClassMasterDesc,progression,Perk,New,"Master at cooking.",,,,,
perkMechanicClassMasterName,progression,Perk,New,Mechanic Class,,,,,
perkMechanicClassMasterDesc,progression,Perk,New,"Master at mechanical stuff.",,,,,
perkAdvancedConstructionName,progression,Perk,New,Advanced Construction,,,,,
perkAdvancedConstructionDesc,progression,Perk,New,"Learn how to craft builder class exclsuive building recipes such as rebar frames, portland cement and tungsten construction.",,,,,
perkAdvancedConstructionRank1Desc,progression,Perk,New,"You can craft rebar and all rebar frames.",,,,,
perkAdvancedConstructionRank2Desc,progression,Perk,New,"You can craft portland cement and portland concrete mix.",,,,,
perkAdvancedConstructionRank3Desc,progression,Perk,New,"You can craft tungsten plating.",,,,,
perkAdvancedConstructionRank4Desc,progression,Perk,New,"You can craft tungsten bars including centered version.",,,,,
perkAdvancedConstructionRank5Desc,progression,Perk,New,"You can craft tungsten frames.",,,,,
perkBuilderRecipesName,progression,Perk,New,Builder Recipes,,,,,
perkBuilderRecipesDesc,progression,Perk,New,"Learn how to craft builder class exclusive recipes such as storage crates, beds and steel doors.",,,,,
perkBuilderRecipesRank1Desc,progression,Perk,New,"You can craft generic storage container and an old bed.",,,,,
perkBuilderRecipesRank2Desc,progression,Perk,New,"You can craft large generic storage container and queen size bed.",,,,,
perkBuilderRecipesRank3Desc,progression,Perk,New,"You can craft xlarge generic storage container and a king size bed.",,,,,
perkBuilderRecipesRank4Desc,progression,Perk,New,"You can craft vault door, hatch and a house garage door.",,,,,
perkBuilderWorkstationsName,progression,Perk,New,Builder Workstations,,,,,
perkBuilderWorkstationsDesc,progression,Perk,New,"Learn how to craft builder class exclusive workstations.",,,,,
perkBuilderWorkstationsRank1Desc,progression,Perk,New,"You can craft builders workbench.",,,,,
perkBuilderWorkstationsRank2Desc,progression,Perk,New,"You can craft tungsten forge.",,,,,
perkBuilderToolsName,progression,Perk,New,Builder Tools,,,,,
perkBuilderToolsDesc,progression,Perk,New,"Learn how to craft builder class exclusive tools.",,,,,
perkBuilderToolsRank1Desc,progression,Perk,New,"You can craft hd nailgun.",,,,,
perkBuilderToolsRank2Desc,progression,Perk,New,"You can craft steel crowbar.",,,,,
perkBuilderToolsRank3Desc,progression,Perk,New,"You can craft tungsten crowbar.",,,,,
perkSurvivalistHealingName,progression,Perk,New,Survivalist Healing,,,,,
perkSurvivalistHealingDesc,progression,Perk,New,"Learn how to craft survivalist exclusive healing recipes.",,,,,
perkSurvivalistHealingRank1Desc,progression,Perk,New,"You can craft vitamins and herbal antibiotics.",,,,
perkSurvivalistHealingRank2Desc,progression,Perk,New,"You can craft blood draw kits.",,,,,
perkSurvivalistHealingRank3Desc,progression,Perk,New,"You can craft trauma first aid bandages and advanced splints.",,,,,
perkSurvivalistHealingRank4Desc,progression,Perk,New,"You can craft trauma first aid kits.",,,,,
perkSpeedTrapRecipesName,progression,perk,New,Speed Traps,,,,,
perkSpeedTrapRecipesDesc,progression,Perk,New,"Learn how to craft survivalist exclusive speed traps.",,,,,
perkSpeedTrapRecipesRank1Desc,progression,Perk,New,"You can craft speed trap, fire speed trap and explosive speed trap.",,,,,
perkLongBowRecipeName,progression,Perk,New,Longbow Recipe,,,,,
perkLongBowRecipeDesc,progression,perk,New,"Learn how to craft a survivalist exclusive longbow.",,,,,
perkLongBowRecipeRank1Desc,progression,Perk,New,"You can craft a longbow.",,,,,
perkScholarGreenTeaRecipeName,progression,Perk,New,Green Tea Recipe,,,,,
perkScholarGreenTeaRecipeDesc,progression,Perk,New,"Learn how to craft scholar class exclusive green tea.",,,,,
perkScholarGreenTeaRecipeRank1Desc,progression,Perk,New,"You can craft green tea extract and green tea.",,,,,
perkScholarChocolateName,progression,Perk,New,Chocolate Recipes,,,,,
perkScholarChocolateDesc,progression,Perk,New,"Learn how to craft scholar class exclusive chocolate, hot chocolate and cocoa seeds.",,,,
perkScholarChocolateRank1Desc,progression,Perk,New,"You can craft cocoa seeds, hot chocolate and chocolate.",,,,,
perkScholarFarmingName,progression,Perk,New,Scholar Farming,,,,,
perkScholarFarmingDesc,progression,Perk,New,"Learn how to craft scholar class exclusive farming recipes.",,,,,
perkScholarFarmingRank1Desc,progression,Perk,New,"You can craft wheat, yucca, aloe, apple tree, blackberry, strawberry and mushroom seeds.",,,,,
perkScholarFarmingRank2Desc,progression,Perk,New,"You can craft pepper, pumpkin, carrot, cucumber, leek, letuce, melon and onion seeds.",,,,,
perkScholarBlueprintWorkstationName,progression,Perk,New,Blueprint Workstation,,,,,
perkScholarBlueprintWorkstationDesc,progression,Perk,New,"Learn how to craft scholar class exclusive blueprint workstation.",,,,,
perkScholarBlueprintWorkstationRank1Desc,progression,Perk,New,"You can craft a blueprint workstation.",,,,,
perkMarksmanRemington8RecipeName,progression,Perk,New,Remington 8 Schematic,,,,,
