Key,Source,Context,Changes,English,French,German,Klingon,Spanish,Polish
toyFoxBlack,blocks,Block,New,Toy: Max the Fox,,,,,
toyFoxBlack1,blocks,Block,New,Toy: Max the Fox,,,,,
toyFoxBlack2,blocks,Block,New,Toy: Max the Fox,,,,,
toyFoxBlack3,blocks,Block,New,Toy: Max the Fox,,,,,
toyFoxBlack4,blocks,Block,New,Toy: Max the Fox,,,,,
toyFoxBlack5,blocks,Block,New,Toy: Max the Fox,,,,,
toyFoxBlack6,blocks,Block,New,Toy: Max the Fox,,,,,
toyFoxBlack7,blocks,Block,New,Toy: Max the Fox,,,,,
toyFoxBlack8,blocks,Block,New,Toy: Max the Fox,,,,,
toyFoxOrange,blocks,Block,New,Toy: Ferris the Fox,,,,,
toyFoxOrange1,blocks,Block,New,Toy: Ferris the Fox,,,,,
toyFoxOrange2,blocks,Block,New,Toy: Ferris the Fox,,,,,
toyFoxOrange3,blocks,Block,New,Toy: Ferris the Fox,,,,,
toyFoxOrange4,blocks,Block,New,Toy: Ferris the Fox,,,,,
toyFoxOrange5,blocks,Block,New,Toy: Ferris the Fox,,,,,
toyFoxOrange6,blocks,Block,New,Toy: Ferris the Fox,,,,,
toyFoxOrange7,blocks,Block,New,Toy: Ferris the Fox,,,,,
toyFoxOrange8,blocks,Block,New,Toy: Ferris the Fox,,,,,
toyFoxPink,blocks,Block,New,Toy: Panama the Fox,,,,,
toyFoxPink1,blocks,Block,New,Toy: Panama the Fox,,,,,
toyFoxPink2,blocks,Block,New,Toy: Panama the Fox,,,,,
toyFoxPink3,blocks,Block,New,Toy: Panama the Fox,,,,,
toyFoxPink4,blocks,Block,New,Toy: Panama the Fox,,,,,
toyFoxPink5,blocks,Block,New,Toy: Panama the Fox,,,,,
toyFoxPink6,blocks,Block,New,Toy: Panama the Fox,,,,,
toyFoxPink7,blocks,Block,New,Toy: Panama the Fox,,,,,
toyFoxPink8,blocks,Block,New,Toy: Panama the Fox,,,,,
toyFrogBlue,blocks,Block,New,Toy: Elliot the Frog,,,,,
toyFrogBlue1,blocks,Block,New,Toy: Elliot the Frog,,,,,
toyFrogBlue2,blocks,Block,New,Toy: Elliot the Frog,,,,,
toyFrogBlue3,blocks,Block,New,Toy: Elliot the Frog,,,,,
toyFrogBlue4,blocks,Block,New,Toy: Elliot the Frog,,,,,
toyFrogBlue5,blocks,Block,New,Toy: Elliot the Frog,,,,,
toyFrogBlue6,blocks,Block,New,Toy: Elliot the Frog,,,,,
toyFrogBlue7,blocks,Block,New,Toy: Elliot the Frog,,,,,
toyFrogBlue8,blocks,Block,New,Toy: Elliot the Frog,,,,,
toyFrogGreen,blocks,Block,New,Toy: Kremen the Frog,,,,,
toyFrogGreen1,blocks,Block,New,Toy: Kremen the Frog,,,,,
toyFrogGreen2,blocks,Block,New,Toy: Kremen the Frog,,,,,
toyFrogGreen3,blocks,Block,New,Toy: Kremen the Frog,,,,,
toyFrogGreen4,blocks,Block,New,Toy: Kremen the Frog,,,,,
toyFrogGreen5,blocks,Block,New,Toy: Kremen the Frog,,,,,
toyFrogGreen6,blocks,Block,New,Toy: Kremen the Frog,,,,,
toyFrogGreen7,blocks,Block,New,Toy: Kremen the Frog,,,,,
toyFrogGreen8,blocks,Block,New,Toy: Kremen the Frog,,,,,
toyFrogPink,blocks,Block,New,Toy: Hippy the Frog,,,,,
toyFrogPink1,blocks,Block,New,Toy: Hippy the Frog,,,,,
toyFrogPink2,blocks,Block,New,Toy: Hippy the Frog,,,,,
toyFrogPink3,blocks,Block,New,Toy: Hippy the Frog,,,,,
toyFrogPink4,blocks,Block,New,Toy: Hippy the Frog,,,,,
toyFrogPink5,blocks,Block,New,Toy: Hippy the Frog,,,,,
toyFrogPink6,blocks,Block,New,Toy: Hippy the Frog,,,,,
toyFrogPink7,blocks,Block,New,Toy: Hippy the Frog,,,,,
toyFrogPink8,blocks,Block,New,Toy: Hippy the Frog,,,,,
toyGiraffeBlue,blocks,Block,New,Toy: Amaranthe the Giraffe,,,,,
toyGiraffeBlue1,blocks,Block,New,Toy: Amaranthe the Giraffe,,,,,
toyGiraffeBlue2,blocks,Block,New,Toy: Amaranthe the Giraffe,,,,,
toyGiraffeBlue3,blocks,Block,New,Toy: Amaranthe the Giraffe,,,,,
toyGiraffeBlue4,blocks,Block,New,Toy: Amaranthe the Giraffe,,,,,
toyGiraffeBlue5,blocks,Block,New,Toy: Amaranthe the Giraffe,,,,,
toyGiraffeBlue6,blocks,Block,New,Toy: Amaranthe the Giraffe,,,,,
toyGiraffeBlue7,blocks,Block,New,Toy: Amaranthe the Giraffe,,,,,
toyGiraffeBlue8,blocks,Block,New,Toy: Amaranthe the Giraffe,,,,,
toyGiraffeBrown,blocks,Block,New,Toy: Bodego the Giraffe,,,,,
toyGiraffeBrown1,blocks,Block,New,Toy: Bodego the Giraffe,,,,,
toyGiraffeBrown2,blocks,Block,New,Toy: Bodego the Giraffe,,,,,
toyGiraffeBrown3,blocks,Block,New,Toy: Bodego the Giraffe,,,,,
toyGiraffeBrown4,blocks,Block,New,Toy: Bodego the Giraffe,,,,,
toyGiraffeBrown5,blocks,Block,New,Toy: Bodego the Giraffe,,,,,
toyGiraffeBrown6,blocks,Block,New,Toy: Bodego the Giraffe,,,,,
toyGiraffeBrown7,blocks,Block,New,Toy: Bodego the Giraffe,,,,,
toyGiraffeBrown8,blocks,Block,New,Toy: Bodego the Giraffe,,,,,
toyGiraffePink,blocks,Block,New,Toy: Cindy the Giraffe,,,,,
toyGiraffePink1,blocks,Block,New,Toy: Cindy the Giraffe,,,,,
toyGiraffePink2,blocks,Block,New,Toy: Cindy the Giraffe,,,,,
toyGiraffePink3,blocks,Block,New,Toy: Cindy the Giraffe,,,,,
toyGiraffePink4,blocks,Block,New,Toy: Cindy the Giraffe,,,,,
toyGiraffePink5,blocks,Block,New,Toy: Cindy the Giraffe,,,,,
toyGiraffePink6,blocks,Block,New,Toy: Cindy the Giraffe,,,,,
toyGiraffePink7,blocks,Block,New,Toy: Cindy the Giraffe,,,,,
toyGiraffePink8,blocks,Block,New,Toy: Cindy the Giraffe,,,,,
toyLionBlue,blocks,Block,New,Toy: Albert the Lion,,,,,
toyLionBlue1,blocks,Block,New,Toy: Albert the Lion,,,,,
toyLionBlue2,blocks,Block,New,Toy: Albert the Lion,,,,,
toyLionBlue3,blocks,Block,New,Toy: Albert the Lion,,,,,
toyLionBlue4,blocks,Block,New,Toy: Albert the Lion,,,,,
toyLionBlue5,blocks,Block,New,Toy: Albert the Lion,,,,,
toyLionBlue6,blocks,Block,New,Toy: Albert the Lion,,,,,
toyLionBlue7,blocks,Block,New,Toy: Albert the Lion,,,,,
toyLionBlue8,blocks,Block,New,Toy: Albert the Lion,,,,,
toyLionBrown,blocks,Block,New,Toy: Bobby the Lion,,,,,
toyLionBrown1,blocks,Block,New,Toy: Bobby the Lion,,,,,
toyLionBrown2,blocks,Block,New,Toy: Bobby the Lion,,,,,
toyLionBrown3,blocks,Block,New,Toy: Bobby the Lion,,,,,
toyLionBrown4,blocks,Block,New,Toy: Bobby the Lion,,,,,
toyLionBrown5,blocks,Block,New,Toy: Bobby the Lion,,,,,
toyLionBrown6,blocks,Block,New,Toy: Bobby the Lion,,,,,
toyLionBrown7,blocks,Block,New,Toy: Bobby the Lion,,,,,
toyLionBrown8,blocks,Block,New,Toy: Bobby the Lion,,,,,
toyLionPink,blocks,Block,New,Toy: Khamal the Lion,,,,,
toyLionPink1,blocks,Block,New,Toy: Khamal the Lion,,,,,
toyLionPink2,blocks,Block,New,Toy: Khamal the Lion,,,,,
toyLionPink3,blocks,Block,New,Toy: Khamal the Lion,,,,,
toyLionPink4,blocks,Block,New,Toy: Khamal the Lion,,,,,
toyLionPink5,blocks,Block,New,Toy: Khamal the Lion,,,,,
toyLionPink6,blocks,Block,New,Toy: Khamal the Lion,,,,,
toyLionPink7,blocks,Block,New,Toy: Khamal the Lion,,,,,
toyLionPink8,blocks,Block,New,Toy: Khamal the Lion,,,,,
toyMouseBlack,blocks,Block,New,Toy: Pepper the Mouse,,,,,
toyMouseBlack1,blocks,Block,New,Toy: Pepper the Mouse,,,,,
toyMouseBlack2,blocks,Block,New,Toy: Pepper the Mouse,,,,,
toyMouseBlack3,blocks,Block,New,Toy: Pepper the Mouse,,,,,
toyMouseBlack4,blocks,Block,New,Toy: Pepper the Mouse,,,,,
toyMouseBlack5,blocks,Block,New,Toy: Pepper the Mouse,,,,,
toyMouseBlack6,blocks,Block,New,Toy: Pepper the Mouse,,,,,
toyMouseBlack7,blocks,Block,New,Toy: Pepper the Mouse,,,,,
toyMouseBlack8,blocks,Block,New,Toy: Pepper the Mouse,,,,,
toyMouseGrey,blocks,Block,New,Toy: Dusty the Mouse,,,,,
toyMouseGrey1,blocks,Block,New,Toy: Dusty the Mouse,,,,,
toyMouseGrey2,blocks,Block,New,Toy: Dusty the Mouse,,,,,
toyMouseGrey3,blocks,Block,New,Toy: Dusty the Mouse,,,,,
toyMouseGrey4,blocks,Block,New,Toy: Dusty the Mouse,,,,,
toyMouseGrey5,blocks,Block,New,Toy: Dusty the Mouse,,,,,
toyMouseGrey6,blocks,Block,New,Toy: Dusty the Mouse,,,,,
toyMouseGrey7,blocks,Block,New,Toy: Dusty the Mouse,,,,,
toyMouseGrey8,blocks,Block,New,Toy: Dusty the Mouse,,,,,
toyMousePink,blocks,Block,New,Toy: Pinney the Mouse,,,,,
toyMousePink1,blocks,Block,New,Toy: Pinney the Mouse,,,,,
toyMousePink2,blocks,Block,New,Toy: Pinney the Mouse,,,,,
toyMousePink3,blocks,Block,New,Toy: Pinney the Mouse,,,,,
toyMousePink4,blocks,Block,New,Toy: Pinney the Mouse,,,,,
toyMousePink5,blocks,Block,New,Toy: Pinney the Mouse,,,,,
toyMousePink6,blocks,Block,New,Toy: Pinney the Mouse,,,,,
toyMousePink7,blocks,Block,New,Toy: Pinney the Mouse,,,,,
toyMousePink8,blocks,Block,New,Toy: Pinney the Mouse,,,,,
toySealBlue,blocks,Block,New,Toy: Samuel the Seal,,,,,
toySealBlue1,blocks,Block,New,Toy: Samuel the Seal,,,,,
toySealBlue2,blocks,Block,New,Toy: Samuel the Seal,,,,,
toySealBlue3,blocks,Block,New,Toy: Samuel the Seal,,,,,
toySealBlue4,blocks,Block,New,Toy: Samuel the Seal,,,,,
toySealBlue5,blocks,Block,New,Toy: Samuel the Seal,,,,,
toySealBlue6,blocks,Block,New,Toy: Samuel the Seal,,,,,
toySealBlue7,blocks,Block,New,Toy: Samuel the Seal,,,,,
toySealBlue8,blocks,Block,New,Toy: Samuel the Seal,,,,,
toySealBrown,blocks,Block,New,Toy: Robby the Seal,,,,,
toySealBrown1,blocks,Block,New,Toy: Robby the Seal,,,,,
toySealBrown2,blocks,Block,New,Toy: Robby the Seal,,,,,
toySealBrown3,blocks,Block,New,Toy: Robby the Seal,,,,,
toySealBrown4,blocks,Block,New,Toy: Robby the Seal,,,,,
toySealBrown5,blocks,Block,New,Toy: Robby the Seal,,,,,
toySealBrown6,blocks,Block,New,Toy: Robby the Seal,,,,,
toySealBrown7,blocks,Block,New,Toy: Robby the Seal,,,,,
toySealBrown8,blocks,Block,New,Toy: Robby the Seal,,,,,
toySealPink,blocks,Block,New,Toy: Constantine the Seal,,,,,
toySealPink1,blocks,Block,New,Toy: Constantine the Seal,,,,,
toySealPink2,blocks,Block,New,Toy: Constantine the Seal,,,,,
toySealPink3,blocks,Block,New,Toy: Constantine the Seal,,,,,
toySealPink4,blocks,Block,New,Toy: Constantine the Seal,,,,,
toySealPink5,blocks,Block,New,Toy: Constantine the Seal,,,,,
toySealPink6,blocks,Block,New,Toy: Constantine the Seal,,,,,
toySealPink7,blocks,Block,New,Toy: Constantine the Seal,,,,,
toySealPink8,blocks,Block,New,Toy: Constantine the Seal,,,,,
